Bin name	Completeness	Genome size	GC content
SRR5983331.001.fasta	99.1%	5280757	41.7
SRR5983331.002.fasta	44.9%	1381313	45.4
SRR5983331.003.fasta	63.6%	3404880	44.9
SRR5983331.004.fasta	60.7%	5092580	49.2
SRR5983331.005.fasta	94.4%	3255924	58.6
SRR5983331.006.fasta	43.9%	4699998	38.6
SRR5983331.007.fasta	72.0%	6031651	44.0
Bin name	Completeness	Genome size	GC content
SRR5983376.001.fasta	98.1%	2854944	41.2
SRR5983376.002.fasta	15.0%	1179740	59.0
SRR5983376.003.fasta	83.2%	1683726	62.8
SRR5983376.004.fasta	92.5%	5628423	47.5
SRR5983376.005.fasta	90.7%	2742096	62.6
SRR5983376.006.fasta	74.8%	3462651	54.9
SRR5983376.007.fasta	82.2%	2802669	44.4
SRR5983376.008.fasta	89.7%	7369531	45.2
SRR5983376.009.fasta	72.9%	6545729	38.6
Bin name	Completeness	Genome size	GC content
SRR5983380.001.fasta	0.0%	156529	43.6
SRR5983380.002.fasta	0.0%	662560	44.0
SRR5983380.003.fasta	98.1%	2197437	38.3
SRR5983380.004.fasta	99.1%	2854699	55.8
SRR5983380.005.fasta	93.5%	3698026	49.2
SRR5983380.006.fasta	87.9%	4093277	41.7
SRR5983380.007.fasta	93.5%	2775301	48.6
SRR5983380.008.fasta	81.3%	3200766	42.4
SRR5983380.009.fasta	74.8%	2238071	33.2
SRR5983380.010.fasta	94.4%	2857955	37.7
SRR5983380.011.fasta	64.5%	3115528	44.5
SRR5983380.012.fasta	58.9%	4430950	44.2
SRR5983380.013.fasta	82.2%	2346503	60.3
SRR5983380.014.fasta	66.4%	2838053	44.9
SRR5983380.015.fasta	55.1%	5097011	39.0
SRR5983380.016.fasta	53.3%	3462209	53.6
Bin name	Completeness	Genome size	GC content
SRR5983393.001.fasta	4.7%	471649	47.0
SRR5983393.002.fasta	68.2%	4204363	41.5
SRR5983393.003.fasta	91.6%	4539524	44.7
SRR5983393.004.fasta	51.4%	5002895	47.3
SRR5983393.005.fasta	87.9%	6394547	42.0
SRR5983393.006.fasta	72.0%	9234032	40.4
SRR5983393.007.fasta	57.9%	3459711	46.3
SRR5983393.008.fasta	57.9%	7513473	46.4
SRR5983393.009.fasta	71.0%	2579727	62.1
SRR5983393.010.fasta	81.3%	4134141	56.3
Bin name	Completeness	Genome size	GC content
SRR5983406.001.fasta	96.3%	2934856	54.2
SRR5983406.002.fasta	53.3%	2774275	39.8
SRR5983406.003.fasta	47.7%	3569404	42.2
SRR5983406.004.fasta	47.7%	5009351	45.4
SRR5983406.005.fasta	70.1%	1900175	35.2
Bin name	Completeness	Genome size	GC content
SRR5983450.001.fasta	82.2%	3834436	42.1
SRR5983450.002.fasta	98.1%	6778983	45.8
SRR5983450.003.fasta	74.8%	3196607	40.4
SRR5983450.004.fasta	58.9%	5965764	42.8
SRR5983450.005.fasta	72.9%	2090708	47.1
SRR5983450.006.fasta	92.5%	4246333	45.5
SRR5983450.007.fasta	100.0%	4819675	51.0
SRR5983450.008.fasta	97.2%	2896126	59.0
SRR5983450.009.fasta	62.6%	2861800	44.5
SRR5983450.010.fasta	79.4%	3502721	36.5
SRR5983450.011.fasta	49.5%	4744050	43.1
SRR5983450.012.fasta	75.7%	2654658	44.2
SRR5983450.013.fasta	49.5%	2585654	49.9
